Word,POS,Definition
กร้อน,ก.,ทำหรือตัดผมยาวให้สั้นมาก.
กรอบ,น.,ขอบเขตกำหนด.
กรอบตู,น.,วงกบ.
กรอบมือ,น.,สนับมือ (ดู หนับมือ).
"ว. แห้งกรอบ, เปราะ โดยปริยายหมายถึงยากจน ยอบแยบ เช่น เดือนนี้กรอบจัง - เดือนนี้ยอบแยบจัง",,
กร็อบแกร็บ (ภ.ก.),,ก็ว่า.
กร็อบแกร็บ,ว.,"แห้งกรอบ, ยอบแยบ (ดู กรอบ"
กร็อบแกร็บ,ว.,).
กรอม,น.,๑. เครื่องมือชนิดหนึ่ง ที่ใช้ไม้ไผ่สานเป็นรูป กรวยบ้าง รูปโคมบ้าง ใช้ประโยชน์ต่าง ๆ กัน เช่น ดักนก จับกบ จับปู ขังสัตว์ปีก เป็นต้น.
กรอม,น.,เครื่องมือสอยผลไม้ทำเป็นรูปอย่าง
กรอม,น.,๑ แต่ขนาดเล็ก
"กร้อ, กะ",,ก็เรียก.
"ก. สวม, คร่อม, ครอบ (ดู กรวม.). ว. เศร้าโศก, เป็นทุกข์, ตรอม เช่น กรอมใจ.",,
ตรอม,,ก็ว่า.
กรอย,น.,น้ำรสฝาด.
กรอย,ว.,"กร่อย,ไม่จืดสนิทหรือไม่หวานสนิทเพราะมีรสเค็มเจือ, จืดชืด ไม่มีรสชาติ, ไม่มีชีวิตชีวา"
ตรอย,,ก็ว่า.
กระ,น.,๑. ชื่อเต่าทะเลชนิดหนึ่ง หลังเป็นเกล็ดแผ่นโต ๆ ดูเหมือนซ้อนเหลื่อมกันอย่างกระเบื้องมุงหลังคา สีน้ำตาลลายเหลือง ปากงุ้มคล้ายปากเหยี่ยว ขาแบนเป็นพาย มีไข่กลม เปลือกนิ่มเหนียว ไข่ตามชายหาดครั้งละ ๑๕๐ - ๒๕๐ ฟอง.
กระ,น.,ชื่อส้มชนิดหนึ่ง ลักษณะอย่างส้มจุก รสเปรี้ยวจัดอย่างมะนาว
"จังกระ, บังกระ (น.ศ.), เคยขาว, ล้มเคยขาว (ช.พ.)",,ก็เรียก.
