Word,Alternative Forms,POS,Definition
กรวมทุ่ง,,สำ.,สำ. วางอำนาจ.
กรวมน้ำกรวมบก,,สำ.,"สำ. ครึ่ง ๆ กลาง ๆ, สะเทินน้ำสะเทินบก."
กรวมบวง,,สำ.,สำ. ทำใหญ่เกินตัว.
กรวมเบาะ,,สำ.,สำ. ยังเยาว์วัย.
กรวมแบบ,,ว.,ว. ผิดแบบอย่าง.
กรวมพร,,ก.,"ก. สรวมพร, ขอพร."
กรวมย่าง,,ก.,"ก. ๑). สวมรอย., ๒). พลอยผสมโรง.,, สำ. วัดรอยเท้า."
กรวมอก,,ก.,ก. นุ่งผ้ากระโจมอก.
กรวย,,น.,"น. ชื่อไม้ต้นชนิดหนึ่ง (ดู หัน, น.)."
กรอ,,น.,"น. ชื่อไม้น้ำชนิดหนึ่ง ใบเป็นหยัก ลำต้นเป็นปล้อง มีรสขมนิด ๆ ใช้เป็นผักรับประทานได้ (น.ศ.)., ก., ม้วนด้ายหรือเชือกเข้าหลอดหรือเข้ารอบแกนด้วยไนหรือเครื่องจักร., ตกแต่งให้ได้รูปทรงตามต้องการ เช่น กรอฟัน, กรอหิน, กรอไม้., ติดกรัง เช่น หนิมกรอ - สนิมจับกรัง., พันโดยรอบ, เกาะแน่น เช่น ย่านเชือกกรอต้นโหนด - เถาวัลย์พันรอบต้นตาล., ว., แน่นขนัด, มากยิ่ง เช่น คนมากันกรอ, คนติดกรอ, เลือดพุ่ง กรอ, น้ำไหลกรอ., เสียงดังเช่นนั้น."
กร่อ,,น.,"น. หุบห้วย, ลำธารเล็กแคบ ๆ ตลิ่งสูง."
กร้อ,,น.,"น., ตะกร้อ, ลูกกลมสานด้วยหวายหรือพลาสติก เป็นตา ๆ สำหรับเตะ"
"กะตร้อ (น.ธ.), ตร้อ",ก็เรียก.,,
"๒. เกราะ, เครื่องสัญญาณทำด้วยไม้ใช้ตี หรือสั่นให้ดัง",,,
"เกราะ, เหลาะ, หลอ, โละโขะ",ก็เรียก.,,
"๓. เครื่องมือสอยผลไม้ (ดู กรอม น. ๒). ก. กลิ้ง, โคลง, กลอกกลิ้ง เช่น เรือกร้อ หรือเรือกล้อ, ถังกร้อ. ว. เฉาตาย (พืช) เพราะถูกน้ำท่วมราก",,,
เตราะ,ก็ว่า.,,
กรอก,,น.,"น., ตรอก, ทางที่แยกมาจากถนนใหญ่และมีขนาดเล็กกว่าถนน"
ตรอก,ก็เรียก.,,
"๒. ลูกกรอก, ลูกคนหรือลูกสัตว์มีแมว เป็นต้น ที่ตายตั้งแต่อยู่ในครรภ์หรือในท้อง มีร่างกายครบสมบูรณ์ แต่มีขนาดเล็ก. ๓. การเล่นโยนหลุม",,,
"ตรอก, ทอยกรอก, ทอยตรอก",ก็เรียก.,,
"๔. ชื่อขนมชนิดหนึ่ง กรอง-กระแจ (ดู กลอก น.). ๕. ชื่อนกกระยางขนาดเล็ก (ดู กรอด น. ๒.). ก. ๑. กรอก, เทของลงในช่องหรือรูแคบ ๆ เช่น กรอกน้ำใส่ขวด",,,
ตรอก,ก็ว่า.,,
"ก. ๒. กรอกข้อความ. ๓. กลับกลอก, กลอกกลิ้ง.",,,
กรอง,,น.,"น. กระชอน, เครื่องกรอง โดยปกติสานด้วยผิวไม้ไผ่ใช้กรองกะทิ เป็นต้น"
"กะสฺตฺรอง, กะสฺตฺรองพร้าว, กะสอง, กะตรอง (น.ธ.), กือตรอง, ตะกรองพร้าว (ป.น.)",ก็เรียก.,,
"ก. ๑. ถัก เช่น กรองฟาก - เอา เชือกถักฟาก. ๒. ไตร่ตรอง, คิดทบทวน, ตริตรอง ๓. กรอง, แยก ของละเอียดออกจากของหยาบ หรือคัดของบริสุทธิ์ออกจากของไม่บริสุทธิ์",,,
ตรอง,ก็ว่า.,,
กร็องกรอย,,ก.,"ก. ตกอับ, แร้นแค้น (ดู กรกกรอย)."
กร้องแกร้ง,,ว.,"ว. ทำท่าเจ้าชู้ (ดู กล้องแกล้ง, ว., )."
กรอด,,น.,"น., ชื่อมดชนิดหนึ่ง ตัวเล็ก สีดำ ชอบทำรังอยู่บนต้นไม้นิยมเอามาเป็นเหยื่อล่อปลา"
"จอด, ตรอด",ก็เรียก.,,
"๒. นกกระยางกรอก, ชื่อนกกระยางขนาดเล็ก",,,
"นกยางกรอก, ยางกรอด, หรอด",ก็เรียก.,,
"ว. ๑. ปลอด, ปราศจาก เช่น กรอดแคล้ว - ปลอดแคล้ว, ปลอดภัย. ๒. เสียงดังเช่นนั้น.",,,
กร้อน,,ก.,ก. ทำหรือตัดผมยาวให้สั้นมาก.
กรอบ,,น.,น. ขอบเขตกำหนด.
กรอบตู,,น.,น. วงกบ.
กรอบมือ,,น.,น. สนับมือ (ดู หนับมือ).
